_id,username,uid,attraction_review_name,nb_cities_visited,src,nb_contributions
ObjectID(5c2f6128aed9643f90b00530),"312stephanel","D581B8FD828504D02AFA71AA4BD8B85D","Tour Eiffel","59","616840667","182"
ObjectID(5c2f612baed9643f90b00531),"3BFMTCF","B505D0730B3E1C8174F7FAD3095A96C0","Tour Eiffel","47","616873308","153"
ObjectID(5c2f612eaed9643f90b00532),"MarieLP02","D9BD799DF4483C43D629A3AB6CD3F5D8","Tour Eiffel","26","616970026","62"
ObjectID(5c2f6130aed9643f90b00533),"Renchard","2C97D4EB8E17C012730BF260C81953A1","Tour de Londres","16","906428","32"
ObjectID(5c2f6133aed9643f90b00534),"Kingaldo2014","4001EF882D4E03BBE0C331944B56429F","Tour de Londres","237","2241685","29"
ObjectID(5c2f6135aed9643f90b00535),"austinbride05","DFD0ED0D887E0D23368981883275F86E","Tour de Londres","6","2287054","6"
ObjectID(5c2f6138aed9643f90b00536),"Suzski","65B443FC68116BE07D26BDC0CABA6136","Tour de Londres","334","2287180","126"
ObjectID(5c2f613baed9643f90b00537),"Paradise5349","0A5B86013906C3E707A52633DA08A681","Tour de Londres","2","2329216","9"
ObjectID(5c2f613daed9643f90b00538),"Odyssey19126","3E3C4BE108AC3D80AF5B6E3030D50244","Tour de Londres","1 ville visitée","2447086","3"
ObjectID(5c2f6140aed9643f90b00539),"doctorkris3","B82BA6C97A963CA4B01044F1FE0E70F6","Tour de Londres","21","2476960","36"
ObjectID(5c2f6142aed9643f90b0053a),"RaceanS","052CA59867F1DCECF86EBD023DBA5832","Tour de Londres","1 ville visitée","2499267","2"
ObjectID(5c2f6145aed9643f90b0053b),"Voyage20697","750787BDD987DF2CEB19061E5F3AEA7D","Tour de Londres","5","2588989","4"
ObjectID(5c2f6147aed9643f90b0053c),"sfvalleymom","666D7C357418BDB8E0236B9819DB9C08","Tour de Londres","53","2605676","24"
ObjectID(5c2f614aaed9643f90b0053d),"Stationary","497C871FDF00B4C77FC8FEC8D78A5AF3","Tour de Londres","72","2700981","2"
ObjectID(5c2f614daed9643f90b0053e),"/MemberProfile-a_uid.E9470E31EA20773C27102E2C7FA7A7EE","E9470E31EA20773C27102E2C7FA7A7EE","Tour de Londres","369 votes utiles","1135076","29"
ObjectID(5c2f614faed9643f90b0053f),"TravelingGuy","140B84D57003299D7F08196DE01D4BD8","Tour de Londres","77","1282026","155"
ObjectID(5c2f6152aed9643f90b00540),"Excursion16751","E14AA3A72DADF0E773A50454679BC2F1","Tour de Londres","1 ville visitée","1345947","6"
